Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,128.000000,128.679993,98.000000,114.620003,101.897194,67793161
2005-02-01,118.959999,118.959999,102.839996,104.239998,92.669373,24389710
2005-03-01,105.199997,120.000000,98.199997,102.320000,90.962494,50659442
2005-04-01,103.599998,107.379997,84.660004,105.639999,93.913963,38268880
2005-05-01,105.879997,120.000000,104.480003,115.860001,102.999557,24583560
2005-06-01,115.639999,127.160004,109.059998,125.459999,111.533966,37328885
2005-07-01,125.779999,159.580002,125.019997,134.779999,119.819443,48630338
2005-08-01,135.199997,149.199997,128.000000,136.740005,121.561897,23431950
2005-09-01,138.360001,153.940002,126.260002,151.960007,138.560974,20102707
2005-10-01,151.600006,160.440002,132.800003,144.139999,131.430435,51598832
2005-11-01,145.199997,166.740005,140.199997,158.880005,144.870758,19644464
2005-12-01,159.559998,180.000000,154.020004,179.199997,163.399063,19603176
2006-01-01,179.179993,199.600006,170.000000,176.899994,161.301865,20155117
2006-02-01,176.800003,249.759995,175.000000,220.860001,201.385681,87047640
2006-03-01,220.000000,266.380005,219.199997,264.899994,241.542450,53041857
2006-04-01,260.440002,304.000000,220.000000,259.600006,236.709778,101577955
2006-05-01,265.000000,280.000000,180.000000,229.350006,209.127090,53820056
2006-06-01,230.000000,240.000000,182.000000,216.000000,196.954239,47263250
2006-07-01,217.000000,238.399994,208.250000,236.000000,215.190704,37144223
2006-08-01,236.000000,280.000000,225.399994,251.050003,228.913727,35068472
2006-09-01,250.000000,269.000000,239.149994,262.500000,241.327347,30076583
2006-10-01,262.500000,270.700012,251.149994,262.000000,240.867630,17191537
2006-11-01,274.399994,274.799988,247.500000,254.850006,234.294388,20033296
2006-12-01,255.149994,260.899994,230.149994,251.350006,231.076675,15748316
2007-01-01,251.350006,262.500000,231.100006,246.300003,226.433990,15610876
2007-02-01,245.100006,267.000000,220.100006,231.949997,213.241409,14196521
2007-03-01,235.800003,246.750000,180.250000,236.800003,217.700241,16217474
2007-04-01,234.000000,257.899994,210.000000,210.949997,193.935242,36934791
2007-05-01,210.949997,225.000000,200.250000,217.449997,199.910980,42080815
2007-06-01,219.000000,228.800003,201.500000,208.149994,191.361099,30323374
2007-07-01,209.500000,221.899994,184.300003,191.050003,175.640335,55562220
2007-08-01,192.000000,193.750000,159.000000,166.699997,153.254318,37073499
2007-09-01,168.100006,186.199997,159.750000,182.300003,169.406464,50172782
2007-10-01,183.100006,202.199997,164.100006,178.800003,166.154037,42548387
2007-11-01,180.000000,192.449997,172.100006,183.100006,170.149933,21902460
2007-12-01,183.100006,221.949997,183.100006,212.649994,197.609879,32018039
2008-01-01,215.000000,224.600006,146.699997,189.250000,175.864914,26769318
