Date,Open,High,Low,Close,Adj Close,Volume
2007-06-01,389.652008,394.312012,362.679993,383.776001,359.852509,36246581
2007-07-01,385.635010,440.266998,383.018005,413.684998,387.897034,50807649
2007-08-01,408.588989,444.700012,344.316986,439.799988,412.384125,83805110
2007-09-01,403.815002,452.203003,370.484985,431.497986,404.599701,43461234
2007-10-01,429.294006,543.653015,417.083008,462.118988,433.311798,204235853
2007-11-01,465.976013,493.062012,379.666992,431.313995,404.427124,200410354
2007-12-01,432.002991,491.088013,410.449005,457.436005,428.920746,140144241
2008-01-01,459.088989,464.092987,321.821991,394.289001,369.710114,193832339
2008-02-01,395.734985,434.528015,370.140991,379.321991,355.676117,103603872
2008-03-01,371.747009,388.848999,324.209015,379.321991,355.676117,136262691
2008-04-01,381.044006,436.135010,357.308990,412.377014,386.670654,136160441
2008-05-01,447.850006,489.899994,366.352997,437.975006,410.672943,351406316
2008-06-01,403.997986,407.441986,328.708008,331.118011,310.477142,175448308
2008-07-01,339.657013,395.712006,308.760010,366.674988,343.817535,207037093
2008-08-01,362.635010,408.500000,353.773987,384.487000,360.519135,110465884
2008-09-01,384.257996,417.524994,298.867004,360.316010,337.854980,222561744
2008-10-01,375.993988,394.250000,221.740005,300.130005,281.420776,256569383
2008-11-01,316.772003,343.398987,264.665009,308.071991,288.867676,192988877
2008-12-01,311.125000,351.500000,285.553009,328.477997,308.001587,169787958
2009-01-01,328.248993,332.839996,254.037003,291.040009,272.897400,207116115
2009-02-01,289.088013,325.250000,278.690002,293.127991,274.855255,116657791
2009-03-01,290.466003,294.500000,248.412994,287.274994,269.367065,246440672
2009-04-01,287.572998,349.687988,272.699005,346.153015,324.574799,184145374
2009-05-01,346.153015,510.000000,339.059998,410.450012,384.863739,580014201
2009-06-01,399.407990,399.407990,344.776001,368.257996,345.301819,186692788
2009-07-01,368.717010,400.509003,338.234009,376.545013,353.072266,157600856
2009-08-01,383.799011,403.309998,335.181000,389.859009,366.537079,162206898
2009-09-01,384.394989,445.316010,366.398987,384.487000,361.486328,157648562
2009-10-01,391.144012,421.444000,266.364014,268.889008,252.803604,504708734
2009-11-01,268.566986,325.600006,251.580994,299.549988,281.630463,443105932
2009-12-01,279.953003,320.260986,275.454010,302.769012,284.656891,178316493
2010-01-01,303.825012,335.149994,279.264008,320.549988,301.374176,151681007
2010-02-01,280.044006,314.049988,247.311005,256.493011,241.149200,176164415
2010-03-01,279.399994,307.350006,257.089996,286.976990,269.809540,120196787
2010-04-01,287.023010,315.578003,268.108002,307.000000,288.634735,130614833
2010-05-01,273.617004,275.362000,231.380997,241.389008,226.948746,166235320
2010-06-01,241.572998,268.108002,233.539001,241.296997,226.862198,153785188
2010-07-01,241.481003,297.856995,239.735992,281.696991,264.845428,195513933
2010-08-01,282.799011,308.278015,282.799011,300.566010,282.585632,116226794
2010-09-01,302.080994,348.899994,301.897003,336.329010,317.302521,126882690
2010-10-01,339.817993,339.817993,291.980988,299.005005,282.090027,110460332
2010-11-01,302.080994,333.207001,278.575012,330.682007,311.974976,161464536
2010-12-01,328.248993,343.750000,295.653015,329.441986,310.805115,90367277
2011-01-01,331.371002,338.000000,285.553009,292.898987,276.329376,71737898
2011-02-01,298.407990,316.083008,279.539001,304.192993,286.984467,108198068
2011-03-01,304.009003,338.299988,283.670990,328.157013,309.592834,90496716
2011-04-01,325.585999,393.347992,317.414001,348.954010,329.213348,92288519
2011-05-01,347.989990,353.453003,317.414001,343.536011,324.101868,79987329
2011-06-01,344.545990,371.816010,337.567993,362.588989,342.076935,104365317
2011-07-01,362.588989,403.309998,347.300995,401.472992,378.761230,113372824
2011-08-01,411.205994,416.450012,346.337006,404.649994,381.758514,150642056
2011-09-01,381.962006,384.670990,331.140991,347.071014,328.340240,94767156
2011-10-01,342.571991,375.809998,315.440002,359.742004,340.327362,88675088
2011-11-01,355.151001,378.289001,325.769989,354.509003,335.376831,169500330
2011-12-01,360.752014,365.251007,293.127991,315.394012,298.372803,142159232
2012-01-01,316.312012,345.050995,293.816986,335.778015,317.656677,100549384
2012-02-01,334.950989,368.144012,306.350006,321.545990,304.192688,210995622
2012-03-01,320.444000,325.862000,294.414001,310.252014,293.508240,97178397
2012-04-01,311.170990,315.716003,265.308014,285.093994,269.707977,79297890
2012-05-01,285.093994,293.770996,257.182007,277.795013,262.802917,78288063
2012-06-01,275.545013,290.971008,261.955994,280.089996,264.974030,89352557
2012-07-01,280.089996,301.897003,273.617004,275.498993,260.630798,88051351
2012-08-01,276.372009,278.346008,218.940002,227.524994,215.245880,213519774
2012-09-01,226.423004,259.843994,221.556000,243.729996,231.543274,141425324
2012-10-01,243.455002,253.968002,198.143005,247.587006,235.207428,76904012
2012-11-01,248.643005,312.822998,245.796005,309.425995,293.954376,133593605
2012-12-01,309.885010,312.181000,275.040009,291.153992,276.596039,94643090
