Date,M&M,Tata Motors
2005-01,-0.005369302219705996,-0.056403781804975406
2005-02,-0.07501865748269076,-0.13079090244745017
2005-03,-0.10867377916963217,-0.00048309987374361985
2005-04,0.15409710822482925,0.0472782926008537
2005-05,0.09116865982092137,-0.017550092393737282
2005-06,1.362892073749459,0.16718064612876504
2005-07,-0.4527674357502699,-0.0707382237839449
2005-08,0.04686631066297697,0.1577680311809273
2005-09,-0.0490066225165563,-0.11652192571761621
2005-10,1.5376044568245124,0.17753979011515808
2005-11,-0.43841931064763995,0.17560179022415823
2005-12,0.09147774681035581,0.08425779751186213
2006-01,0.0535457785008977,0.15209076756814155
2006-02,0.065864329067435,0.14169262910112512
2006-03,0.0068576124826380536,0.054426497328381895
2006-04,-0.03238784192345867,-0.1979711423113174
2006-05,0.017842467788149907,0.00863486121102075
2006-06,-0.05098104311960849,-0.06643330706175987
2006-07,0.09514999200745611,0.139888447180063
2006-08,0.05238235605853747,0.018736406979972697
2006-09,0.14976041110755767,-0.03939980962405609
2006-10,0.050130886034353894,-0.02246847937115215
2006-11,0.10631412278303998,0.11302218597571345
2006-12,-0.008092944672253077,-0.02476482140972014
2007-01,-0.09960265718617656,-0.10896033097599067
2007-02,-0.03814392724767379,-0.06951392232103804
2007-03,-0.0034597794938048265,0.03234082958674023
2007-04,-0.02603572545656585,0.005254848777956456
2007-05,0.909427916932054,-0.11313746347909448
2007-06,-0.4960935049350147,0.04356425629326255
2007-07,-0.028402870939674085,0.00336504854755737
2007-08,0.061996929089007446,0.10708894803241642
2007-09,0.0032606755319151137,-0.02452344102459314
2007-10,-0.03300946259766713,-0.03351307836996276
2007-11,0.18148779940683601,0.012902564741360978
2007-12,-0.22867166338403222,-0.057219895153727274
2008-01,0.04046637882464399,0.0012832224657264302
2008-02,0.007655859148229638,-0.11087260652202713
2008-03,-0.03851666037126056,0.06713423336180346
2008-04,-0.11943902501750481,-0.13363540157301523
2008-05,-0.17216577446484738,-0.25994630499760984
2008-06,0.07001156840260059,-0.05292727274219344
2008-07,0.10693399219717215,0.09144883389027392
2008-08,-0.11950529656534004,-0.19366276522471426
2008-09,-0.2649656526005888,-0.5069794605157241
2008-10,-0.25020029906542063,-0.19256870725086994
2008-11,-0.022435855659651782,0.16764122378647084
2008-12,0.10109289617486339,-0.06380823262868773
2009-01,0.03126554838709694,-0.0023402358471451556
2009-02,0.23083085412264914,0.20763559003625187
2009-03,1.5348625577450812,0.3521903662045718
2009-04,-0.3121850652956297,0.3816675752707672
2009-05,0.033410015246164715,-0.13685668874119716
2009-06,0.24274933436912582,0.44987120587103346
2009-07,0.005359425957645936,0.16166457860043848
2009-08,0.022634158831589035,0.207164884649782
2009-09,0.0438768291139926,-0.040427408256933584
2009-10,0.11648761837747168,0.16906619979213144
2009-11,0.05003166936666714,0.19361694706477817
2009-12,-0.05856517345124934,-0.12279900648665643
2010-01,-0.009627021299787875,0.024272956251214284
2010-02,0.0743714076578934,0.06538007833284598
2010-03,-0.028077865842557892,0.1516420173045505
2010-04,0.08847284211090334,-0.13476732304055938
2010-05,0.09542511411716181,0.03112497594094199
2010-06,0.05443536352346978,0.08715461837467253
2010-07,-0.05260769160997725,0.19377333910800076
2010-08,0.10339873425756374,0.08684716562245942
2010-09,0.06102677078814178,0.055460676539260456
2010-10,0.04306934098837112,0.06553155691168677
2010-11,0.016856166473636636,0.059434714803006106
2010-12,-0.0833333783089174,-0.12328644800580824
2011-01,-0.13681920415456772,-0.05605466092597
2011-02,0.1373933836784409,0.15294142016383216
2011-03,0.08003148414472161,-0.009209816869729992
2011-04,-0.11144902872187123,-0.11444562533342117
2011-05,0.044338713084554726,-0.09230168135141203
2011-06,0.026855642335752217,-0.04636808918554547
2011-07,0.024141552549427736,-0.21706433929188163
2011-08,0.09022552846249021,0.05112164111793693
2011-09,0.07530285927306601,0.27170743562005195
2011-10,-0.161957552304826,-0.1292526982006894
2011-11,-0.05984559194960415,0.03414712806966658
2011-12,-0.011733646437083745,0.36401321596788994
2012-01,0.05350250614726915,0.11159265173163346
2012-02,-0.013594371101309899,0.015868685291712037
2012-03,0.01406737479461806,0.1500464456577728
2012-04,-0.08090981335246505,-0.26394121913014046
2012-05,0.08374199511156588,0.04055926760819717
2012-06,-0.009049167903853017,-0.06681757762027019
2012-07,0.08889213117416173,0.035582004099111275
2012-08,0.13306687388638538,0.1419112077335971
2012-09,0.022840291113584543,-0.04784086059076065
2012-10,0.07072190304860348,0.07340300507527964
2012-11,-0.01620905596620914,0.1433534767456648
2012-12,-0.04551067773063244,-0.04685576646820966
2013-01,-0.017486632555524406,-0.035070196325058145
2013-02,-0.01419254186756258,-0.06398632291196582
2013-03,0.07291302551370737,0.11461769064377636
2013-04,0.04701873512439092,0.044333848433580014
2013-05,0.0031522795078571253,-0.10213728006186407
2013-06,-0.06099315213665302,0.0327039143940937
2013-07,-0.1406078786761148,0.03012004592964357
2013-08,0.05643155059048843,0.11111074408575639
2013-09,0.07299530258511844,0.14631685415877138
2013-10,0.06465058912160182,0.046045484662095904
2013-11,-0.0011108045490612062,-0.055930854732780366
2013-12,-0.05719127230852028,-0.07133344406910558
2014-01,0.09469780595779187,0.1928169026273614
2014-02,0.006362249358645489,-0.0438906448417522
2014-03,0.09534000087276451,0.0403885024749544
2014-04,0.1501583087019167,0.0007213128354675025
2014-05,-0.07146907972480787,0.03915304808455855
2014-06,0.04746345386876394,0.03582185934804283
2014-07,0.1710564006945834,0.17526571511938194
2014-08,-0.03297321317702817,-0.043614959290665056
