Date,Axis Bank,SBI,HDFC,IndusInd,Kotak Mahindra,ICICI
2005-01,0.17495751455854203,0.11143038220886003,0.04020547361327442,-0.05498283410682414,0.14134578563995825,0.055416010941598426
2005-02,-0.01858732005730357,-0.08374776243286175,-0.07227990805380546,-0.08818178181818181,0.031606170235714215,0.031242691359511854
2005-03,-0.031565656565656464,-0.10682611517650065,-0.018078388215501673,0.011964067319478744,-0.10723228752393588,-0.08363137361712769
2005-04,0.04193830943068222,0.14636345413952712,0.008504710280373695,0.21477836453201982,0.23230493317934364,0.08917973389602518
2005-05,0.029197017117893242,0.01707755807924327,0.17885270396246122,0.08434705322475078,0.05194802377967522,0.08595888552139397
2005-06,4.327254400293998,0.17355966430095182,1.199355380866284,0.1480927792997091,0.08476522845869927,0.3808453380476453
2005-07,-0.8100798739462884,-0.004936116936529733,-0.542318947332325,0.014983739413680919,0.17388242760143457,-0.1804659105666191
2005-08,0.0646905667935107,0.17819833438744737,0.07012880686829193,-0.09050069087289625,-0.001499270304876732,0.24885849883238587
2005-09,-0.09988717080511655,-0.1056279653451675,-0.11457342355065925,-0.2695836067631223,-0.1386386158430707,-0.17134825098083628
2005-10,4.668756767764128,0.06858590627587335,1.2645677529948443,0.05024150724637688,0.23590927433309594,0.1870342612765743
2005-11,-0.7884239668202765,0.012826096207127824,-0.4840952291419701,0.07359705882601886,0.05030557687457593,-0.011495214092600903
2005-12,0.1745949673217455,-0.024005116921339775,0.07576723809523811,-0.10111391948976589,0.04744856033835476,0.04136389834484411
2006-01,-0.028185757117,-0.00998456301006978,-0.03318259427440773,-0.035271743846105985,-0.020085452991452923,0.00984892501289325
2006-02,0.08700956840147867,0.10370314399235636,0.05032906737185483,-0.07509879743473513,0.21783687365308557,-0.042587428352060086
2006-03,-0.023030459528583958,-0.057201752808111794,1.1331610926770002,0.19978639315782898,0.11333927305281999,0.004584547237806547
2006-04,-0.17996264194336642,-0.08810613353577024,-0.5488011916008431,-0.1798753809483391,-0.05307172860911491,-0.0916777400058254
2006-05,-0.06064853743468057,-0.1259840756702878,0.06810257923118268,-0.2627578341532645,-0.17119562965205515,-0.09227926815907339
2006-06,0.1108415562604963,0.11336386323552561,-0.001193554856541712,-0.03240067651249867,0.16393442622950816,0.13517100427319173
2006-07,0.14664880138835534,0.14933659062453053,0.07176103144654089,0.31811268299011775,0.09964784507042257,0.07871898943552114
2006-08,0.11104590943316994,0.10459061007881099,0.08602783672254355,0.16743649347428402,0.06756325587819112,0.17097957387186957
2006-09,0.14952537708467184,0.06513504291131023,0.08564321237831263,-0.12660726264307154,0.0412417526392741,0.11084910638795065
2006-10,0.08809361091993573,0.20206622558273346,0.11666335971195863,0.005662513899772792,0.09866052366206035,0.12262558833774406
2006-11,-0.009909371601208417,-0.05424651195215513,-0.048003226956677025,0.0664413483584978,0.048243304630168904,0.021837417475192744
2006-12,0.1384156758606403,-0.08441613130115078,0.009972405261901907,0.12460406017335002,0.16771386196239702,0.05563535812040099
2007-01,-0.13823418702271184,-0.0864586757540119,-0.1331355541151904,-0.17183102347417833,-0.0898614487639281,-0.11858523930074649
2007-02,0.06446714851820223,-0.04549608636040503,0.020481294117647098,-0.04761900442716582,0.1282654766442075,0.028756555592143407
2007-03,-0.04526919769026927,0.10805473609269711,0.07336372610843456,0.023809523809523725,0.1337088215887996,0.014643440524916729
2007-04,0.2280008460914229,0.22846669918916485,0.12053899213456054,0.058139534883721034,0.05298985832566694,0.061558651799771935
2007-05,4.265675367695892,0.1271688449172499,0.9985186650658997,0.19780219780219777,0.17604051391313336,0.14344355828680455
