Date,Open,High,Low,Close,Adj Close,Volume
2009-02-01,60.000000,72.000000,53.812500,62.162498,48.734818,15670176
2009-03-01,61.000000,73.650002,60.099998,66.275002,51.958984,15925340
2009-04-01,66.500000,102.500000,66.500000,81.474998,63.875633,104730208
2009-05-01,81.474998,125.750000,80.324997,118.412003,92.833900,79863208
2009-06-01,120.050003,215.000000,118.500000,183.024994,143.489883,254970544
2009-07-01,185.912994,218.425003,157.125000,212.037994,166.235794,150407572
2009-08-01,212.500000,239.925003,190.136993,237.212006,185.971985,105355488
2009-09-01,238.750000,255.500000,216.375000,234.037994,183.483582,74962376
2009-10-01,232.500000,240.125000,225.287994,233.587006,183.130035,35239032
2009-11-01,233.750000,269.750000,218.250000,232.162994,182.013596,50787532
2009-12-01,233.750000,287.174988,231.000000,247.800003,194.272873,22057120
2010-01-01,247.037994,289.500000,231.774994,243.125000,190.607712,34167892
2010-02-01,241.250000,249.449997,220.561996,222.712006,174.604095,14301500
2010-03-01,225.250000,239.500000,212.250000,213.274994,167.205627,27144316
2010-04-01,213.500000,217.500000,190.500000,193.550003,151.741364,43867536
2010-05-01,192.524994,197.000000,154.136993,159.050003,124.693703,23186352
2010-06-01,159.000000,190.500000,158.037994,183.550003,143.901474,44660756
2010-07-01,182.000000,195.500000,174.425003,175.050003,137.237564,22715400
2010-08-01,176.250000,185.488007,158.725006,159.561996,127.448273,15693968
2010-09-01,159.561996,212.750000,158.125000,188.000000,150.162781,68026252
2010-10-01,189.000000,200.425003,173.225006,182.311996,145.619553,21906796
2010-11-01,183.750000,190.688004,149.550003,159.824997,127.658340,12215056
2010-12-01,163.750000,178.000000,155.787994,175.600006,140.258438,13304788
2011-01-01,177.625000,188.000000,158.811996,162.738007,129.985062,14353816
2011-02-01,162.750000,175.649994,119.212997,161.311996,128.846054,18556000
2011-03-01,162.500000,189.750000,160.511993,169.037994,135.017105,32814984
2011-04-01,168.000000,190.250000,167.750000,171.600006,137.063477,19214448
2011-05-01,171.500000,174.113007,159.149994,169.449997,135.346161,17723124
2011-06-01,169.962006,198.750000,163.699997,180.811996,144.421448,16775464
2011-07-01,182.011993,199.500000,178.587006,193.988007,154.945648,18317028
2011-08-01,194.011993,196.561996,150.500000,162.199997,129.555313,17724224
2011-09-01,166.636993,174.899994,138.886993,143.537994,117.072197,19889568
2011-10-01,139.061996,153.750000,132.425003,146.375000,119.386124,12318396
2011-11-01,145.050003,158.500000,137.500000,141.337006,115.277023,15807820
2011-12-01,144.750000,154.688004,132.000000,143.425003,116.980042,11067924
2012-01-01,144.500000,164.000000,141.261993,163.000000,132.945786,10045832
2012-02-01,163.811996,172.949997,146.250000,150.125000,122.444672,13543252
2012-03-01,149.500000,187.250000,147.524994,180.188004,146.964600,38000408
2012-04-01,179.488007,182.875000,170.011993,175.438004,143.090439,6599432
2012-05-01,175.438004,178.000000,150.000000,168.386993,137.339478,19315780
2012-06-01,167.725006,199.500000,159.636993,177.074997,144.425598,10054824
2012-07-01,177.500000,187.125000,172.550003,178.274994,145.404312,9964732
2012-08-01,177.750000,221.600006,177.750000,199.649994,162.838150,67180768
2012-09-01,200.699997,245.000000,200.500000,243.011993,202.659348,74425696
2012-10-01,243.886993,260.737000,224.725006,237.113007,197.739883,43767000
2012-11-01,236.750000,248.750000,216.774994,220.024994,183.489395,25706784
2012-12-01,220.537994,241.725006,216.375000,233.061996,194.361572,56186072
2013-01-01,234.662994,257.899994,228.125000,249.738007,208.268478,46103664
2013-02-01,249.738007,267.500000,239.500000,262.763000,219.130615,40049252
2013-03-01,263.000000,280.774994,253.811996,264.875000,220.891983,38782864
2013-04-01,264.062012,268.487000,226.699997,238.311996,198.739807,28032076
2013-05-01,238.311996,254.500000,223.761993,241.875000,201.711136,43141752
2013-06-01,240.625000,274.500000,227.274994,264.950012,220.954514,50298608
2013-07-01,264.000000,315.500000,241.250000,311.575012,259.837341,112585600
2013-08-01,312.149994,357.000000,300.125000,343.750000,291.336243,99010648
2013-09-01,345.000000,358.750000,314.362000,333.937988,283.020264,89681460
2013-10-01,335.000000,398.625000,329.000000,387.763000,333.718018,90477480
2013-11-01,387.875000,440.687988,379.024994,424.388000,365.238342,126190776
2013-12-01,422.388000,468.875000,415.500000,459.462006,395.423920,63879432
2014-01-01,461.250000,476.524994,425.899994,446.737000,384.472443,57776168
2014-02-01,449.250000,472.737000,424.100006,466.812012,401.749451,73443388
2014-03-01,467.500000,484.225006,432.750000,448.837006,386.279755,73429596
2014-04-01,451.500000,464.750000,419.087006,458.037994,394.198364,64666080
2014-05-01,458.037994,484.750000,431.662994,480.750000,413.744873,89745136
2014-06-01,482.812012,540.424988,467.024994,538.000000,463.015533,62920284
2014-07-01,537.500000,549.625000,500.000000,537.650024,462.714386,51696216
2014-08-01,510.000000,594.375000,507.537994,590.750000,527.794067,45862564
2014-09-01,586.263000,632.500000,586.263000,622.424988,556.093567,35380208
2014-10-01,617.513000,635.875000,541.500000,629.424988,562.347473,68169268
2014-11-01,629.500000,683.500000,628.325012,660.013000,589.675720,38416744
2014-12-01,661.263000,676.250000,615.349976,648.388000,579.289612,34852156
2015-01-01,647.250000,747.875000,628.299988,717.125000,640.701416,46372828
2015-02-01,743.000000,748.775024,685.000000,708.937988,633.386780,48995068
2015-03-01,719.700012,735.937988,618.650024,629.700012,562.593140,83807976
2015-04-01,630.500000,680.599976,565.099976,621.349976,555.132996,53815421
2015-05-01,621.349976,669.000000,541.000000,554.400024,495.317841,76444299
2015-06-01,559.000000,564.299988,467.100006,477.799988,426.881104,72103282
