Date,HCL,Tech Mahindra,Wipro
2007-01,-0.07346185967617591,-0.17649176906879172,-0.08291722593145678
2007-02,-0.030056919217306244,-0.005851636363636392,-0.005334305315834564
2007-03,0.14704876175837356,0.11372717450035186,0.02180910533999314
2007-04,0.029917726252804755,-0.060714734203376364,-0.04881424423595182
2007-05,-0.0008714248366012978,-0.06554224825975363,1.5428342907592913
2007-06,-0.08867567651080643,-0.04974726676855068,-0.6402610458037505
2007-07,-0.027596183342944114,-0.024932637372691357,-0.030159780080781684
2007-08,-0.013943570102765257,0.032105833800510464,-0.045821845274736095
2007-09,0.0482448863049032,-0.09515628684787558,0.10190622465139643
2007-10,0.022853554274695043,-0.14948575455920887,-0.09169300325396768
2007-11,0.0229635128006207,0.10149028622921374,0.14110529528953175
2007-12,-0.26694980171575433,-0.39477229332873365,-0.19575556321480125
2008-01,0.14897579636584468,0.009058265220013295,0.03382619525770503
2008-02,-0.08788039871436404,0.021133665734998308,-0.011326437487420682
2008-03,0.13899313721618944,0.29543082252894437,0.13110645658745845
2008-04,0.09065694197301677,-0.05379591647449855,0.04193908206969077
2008-05,-0.19723459129727683,-0.172483838513246,-0.1360810244623364
2008-06,-0.20669172509694345,0.06088225386640622,-0.0558013686834824
2008-07,0.1637134149752566,-0.01495856060218037,0.04092446545442541
2008-08,-0.16598755019472622,-0.17169193791886828,-0.2139222919732522
2008-09,-0.11082542783904192,-0.4670542738942971,-0.19785298685426456
2008-10,-0.2047425889990787,-0.316363612121212,-0.11003126697385113
2008-11,-0.1614545163636364,0.09685278025344757,-0.03811986984661708
2008-12,0.006938386576291977,-0.03859367207263975,-0.00792531672713137
2009-01,-0.13695093884582255,0.04518705490330577,-0.10386613311887938
2009-02,0.018463154429666728,0.06615731562138971,0.18506021954484586
2009-03,0.27486529054913134,0.22934734879374274,2.5803171945292527
2009-04,0.28285919859436137,0.4533538620031632,-0.5658225819743062
2009-05,0.1141402331523178,0.5456625119330174,-0.011249270009048074
2009-06,0.29604735242909075,0.15851933315730649,0.2968683927138298
2009-07,0.24481327800829877,0.11872406225461662,0.12200320414574728
2009-08,0.13599995999999992,-0.01338048631484523,0.09482870549832656
2009-09,-0.10137907633963883,-0.0019269862653156222,0.006303757618667083
2009-10,0.10073471999999994,-0.006096280886446315,0.038209592764737454
2009-11,0.10145351286968829,0.06735358090704135,0.08099709900651075
2009-12,-0.0659843813407287,-0.018866032862800086,-0.04713071241830058
2010-01,0.05853523847296116,-0.08396090077120821,0.04560702765224378
2010-02,-0.023699307573973205,-0.04237316240598177,0.04346679191627301
2010-03,0.10058599554879466,-0.09248618710546064,-0.0501495577298936
2010-04,-0.03067563349446678,-0.17824851183288282,-0.002753387011984243
2010-05,-0.04760040700718393,0.15403960727998212,-0.043027528753790456
2010-06,0.07702875358020078,-0.046308906897702395,0.07230145858735937
2010-07,-0.02460485391316114,-0.08847761630715323,-0.02922789671893522
2010-08,0.09986153234436923,0.17822542154712084,0.12292305313695628
2010-09,-0.04028983190896951,-0.030255340425531907,-0.06608363159470643
2010-10,-0.0001188013903555829,-0.12334349627766672,-0.00035576787330471316
2010-11,0.13002032415857934,0.09870176315410806,0.17075937067330016
2010-12,0.075625609778037,-0.0732460054699543,-0.10819188384016465
2011-01,-0.09842042095655912,-0.008762618064998229,0.00022523252672979055
2011-02,0.08023469285015938,0.04789475173315694,0.09584664711723678
2011-03,0.09048610814881908,0.01515642690364638,-0.06226289149958997
2011-04,-0.012279401098709175,-0.012529189538606489,-0.008663904699979796
2011-05,-0.03894322546099194,0.0670522230814794,-0.06451605966007368
2011-06,-0.016072755123447524,0.07287133205476048,-0.06776499740363995
2011-07,-0.15150366848406738,-0.16386585176886737,-0.13884020623694104
2011-08,-0.009441982438438412,-0.11505550767673567,0.016552796052262675
2011-09,0.08457575983529408,0.019764843585594605,0.07570424704919598
2011-10,-0.13510254790594578,-0.034418404782237455,0.028914281334892378
2011-11,0.010812986268253999,0.014773179785625201,0.05699537766692209
2011-12,0.1281041331685795,0.13648245836187978,0.03812411891265466
2012-01,0.10808682480659826,-0.07898773006134963,0.04457767912618826
2012-02,-0.0035137745881141935,0.20025314904246483,0.017929927366079124
2012-03,0.05959670594300914,-0.026361355331956604,-0.07964224892360239
2012-04,-0.015623473653753606,-0.04019089843270218,0.012219067485596646
2012-05,-0.05474876952394403,0.05159545785107045,-0.024630913821138245
2012-06,0.08835302685981383,0.006776772668814379,-0.14966358667798563
2012-07,0.04985469695366973,0.11989903642907973,0.06631175902363795
2012-08,0.060712715912738524,0.2171900841629879,0.05088428530755107
2012-09,0.05290131563967759,-0.024274464511716554,-0.07977937659620515
2012-10,0.07976973684210531,-0.07206695750773384,0.12148836171638933
2012-11,-0.05757804722010662,0.059252368392292754,0.0031803973654287443
2012-12,0.1120090296684848,0.07155182434805885,0.04321398036436941
2013-01,0.05145352325581398,0.052154628590433294,0.011786355759491718
2013-02,0.09897701634579992,0.008037661314568734,0.04983033172578932
2013-03,-0.09257858616352199,-0.10028505521472397,-0.20313426380611355
2013-04,0.032503464402435345,0.014951005655628125,-0.05941923569640972
2013-05,0.04182326460733132,0.09540056640826888,0.06515880168735477
2013-06,0.20818037628866004,0.17597659138811417,0.2550143266475644
2013-07,0.10975441371868278,0.10326562388128857,0.1041096255707763
2013-08,0.04493444362428467,-0.028544034909090965,-0.021814220397654793
2013-09,0.007494547792253892,0.1611826564637504,0.009831240230750327
2013-10,-0.008534295762786859,0.0944520235298365,-0.014446945929953325
2013-11,0.16257090239410688,0.08264608330112999,0.18776546834723074
